Phrase,Subjectivity Difference
last internal discord, -0.035333333333333494
last internal discord, -0.035333333333333494
last internal discord, -0.035333333333333494
last internal discord, -0.035333333333333494
long long while, 0.0
old English judge, 0.3816875411997363
old English judge, 0.3816875411997363
old Japanese girl, 0.4468863383931877
old Japanese girl, 0.4468863383931877
new international order, 0.23595399698340874
new international order, 0.23595399698340874
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
new national security, 0.1911356209150326
new national security, 0.1911356209150326
strict new vetting, 0.2244095697980683
strict new vetting, 0.2244095697980683
new international efforts, 0.23595399698340874
new international efforts, 0.23595399698340874
new national pride, 0.1911356209150326
new national pride, 0.1911356209150326
large current expenditures, 0.13037451737451755
large current expenditures, 0.13037451737451755
long internal struggle, 0.27323809523809534
long internal struggle, 0.27323809523809534
new green pastures, 0.29372689075630254
new green pastures, 0.29372689075630254
new internal vitality, 0.1734411764705882
new internal vitality, 0.1734411764705882
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
new national effort, 0.1911356209150326
new national effort, 0.1911356209150326
old wooden ships, 0.3634511434511434
old wooden ships, 0.3634511434511434
new national service, 0.1911356209150326
new national service, 0.1911356209150326
long slow decline, -0.00044091710758387137
long slow decline, -0.00044091710758387137
long national nightmare, 0.29093253968253974
long national nightmare, 0.29093253968253974
last Japanese division, 0.13625570776255702
last Japanese division, 0.13625570776255702
new international machinery, 0.23595399698340874
new international machinery, 0.23595399698340874
new international inspection, 0.23595399698340874
new international inspection, 0.23595399698340874
new national energy, 0.1911356209150326
new national energy, 0.1911356209150326
long national nightmare, 0.29093253968253974
long national nightmare, 0.29093253968253974
new national spirit, 0.1911356209150326
new national spirit, 0.1911356209150326
new national commitment, 0.1911356209150326
new national commitment, 0.1911356209150326
current international efforts, 0.1995668745668745
current international efforts, 0.1995668745668745
European international congresses, -0.03169306184012077
European international congresses, -0.03169306184012077
new national crusade, 0.1911356209150326
new national crusade, 0.1911356209150326
plain everyday people, 0.31972472472472474
plain everyday people, 0.31972472472472474
long national nightmare, 0.29093253968253974
long national nightmare, 0.29093253968253974
exciting new opportunities, 0.27812204192021633
exciting new opportunities, 0.27812204192021633
old wooden ships, 0.3634511434511434
old wooden ships, 0.3634511434511434
different national stock, 0.35998015873015865
different national stock, 0.35998015873015865
new national debt, 0.1911356209150326
new national debt, 0.1911356209150326
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
large national debt, 0.2851230158730159
large national debt, 0.2851230158730159
exciting new project, 0.27812204192021633
exciting new project, 0.27812204192021633
new national allegiance, 0.1911356209150326
new national allegiance, 0.1911356209150326
new national security, 0.1911356209150326
new national security, 0.1911356209150326
new national welfare, 0.1911356209150326
new national welfare, 0.1911356209150326
old wooden ships, 0.3634511434511434
old wooden ships, 0.3634511434511434
civilized white settlements, 0.4630405405405405
civilized white settlements, 0.4630405405405405
daily new infections, -0.354247146619842
daily new infections, -0.354247146619842
old national debt, 0.2929917417417416
old national debt, 0.2929917417417416
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
old favorite word, -0.2012553342816501
old favorite word, -0.2012553342816501
new national highway, 0.1911356209150326
new national highway, 0.1911356209150326
new national works, 0.1911356209150326
new national works, 0.1911356209150326
old black man, 0.3785135135135135
old black man, 0.3785135135135135
old white woman, 0.3478378378378378
old white woman, 0.3478378378378378
potential new resource, 0.17672098569157407
potential new resource, 0.17672098569157407
new green energy, 0.29372689075630254
new green energy, 0.29372689075630254
last long period, -0.30857142857142883
last long period, -0.30857142857142883
potential national security, 0.3678566066066067
potential national security, 0.3678566066066067
new national effort, 0.1911356209150326
new national effort, 0.1911356209150326
new national parks, 0.1911356209150326
new national parks, 0.1911356209150326
strict international supervision, 0.46036356678147705
strict international supervision, 0.46036356678147705
new national pride, 0.1911356209150326
new national pride, 0.1911356209150326
large new levies, 0.0939873949579833
large new levies, 0.0939873949579833
exciting new future, 0.27812204192021633
exciting new future, 0.27812204192021633
old international order, 0.3378101178101177
old international order, 0.3378101178101177
long last move, 0.30857142857142883
large new markets, 0.0939873949579833
large new markets, 0.0939873949579833
new national monuments, 0.1911356209150326
new national monuments, 0.1911356209150326
last long period, -0.30857142857142883
last long period, -0.30857142857142883
young black youth, 0.4115551992670634
young black youth, 0.4115551992670634
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
young white man, 0.3808795235913877
young white man, 0.3808795235913877
biggest national security, 0.248047385620915
biggest national security, 0.248047385620915
young white person, 0.3808795235913877
young white person, 0.3808795235913877
young new teachers, 0.1348978065802589
young new teachers, 0.1348978065802589
biggest national security, 0.248047385620915
biggest national security, 0.248047385620915
new national program, 0.1911356209150326
new national program, 0.1911356209150326
