Phrase,Subjectivity Difference
last long period, -0.30857142857142883
last long period, -0.30857142857142883
young black youth, 0.4115551992670634
young black youth, 0.4115551992670634
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last national poll, -0.017638888888889093
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
last best hope, -0.5106504065040651
young white man, 0.3808795235913877
young white man, 0.3808795235913877
biggest national security, 0.248047385620915
biggest national security, 0.248047385620915
young white person, 0.3808795235913877
young white person, 0.3808795235913877
young new teachers, 0.1348978065802589
young new teachers, 0.1348978065802589
biggest national security, 0.248047385620915
biggest national security, 0.248047385620915
new national program, 0.1911356209150326
new national program, 0.1911356209150326
